# columns = TERM LEMMA POS PROB
# identifier = dumas1873-09
# creator = Dumas, Alexandre
# created = 1873
# isPartOf = La fille du marquis
# title = IX. Le manuscrit

↵↵↵	↵↵↵	PUNCTstruct	0.0
IX	IX	NOUN	0.37112643861674216
.	.	PUNCTsent	0.0
Le	le	DET	0.9238574500189136
manuscrit	manuscrit	NOUN	0.9967652568734925
.	.	PUNCTsent	0.0
↵↵↵	↵↵↵	PUNCTstruct	0.0
I.	I.	PROPN	0.47828507795554703
↵↵	↵↵	PUNCTstruct	0.0
Ce	ce	PRON	0.9301617808094501
fut	être	AUX	0.9869768238035257
le	le	DET	0.9973845463583043
14	14	NUM	0.8777886869720057
août	août	NOUN	0.9982084698761147
1792	1792	NUM	0.9976027415935701
,	,	PUNCTclause	0.0
jour	jour	NOUN	0.9591724871120538
de	de	ADP	0.9735323507090768
cruelle	cruel	ADJ	0.3365539481329104
mémoire	mémoire	NOUN	0.9858779205857205
,	,	PUNCTclause	0.0
que	que	SCONJ	0.49310218693422925
je	je	PRON	0.9932071204222387
fus	être	VERB	0.8185821337827184
séparée	séparer	VERB	0.9771004472739624
de	de	ADP	0.9866247847131455
mon	mon	DET	0.9800211333130316
bien-aimé	bien-aimé	NOUN	0.8941622185362779
Jacques	Jacques	PROPN	0.9923434980891942
,	,	PUNCTclause	0.0
près	près	ADV	0.9951185590556153
duquel	duquel	ADP_PRON	0.8948688612016503
je	je	PRON	0.9727861620962344
étais	être	AUX	0.9171266881397498
depuis	depuis	ADP	0.945103897747037
sept	sept	NUM	0.9999962355727096
ans	an	NOUN	0.9986859712929891
,	,	PUNCTclause	0.0
et	et	CCONJ	0.979065292545509
que	que	SCONJ	0.8131420591630928
je	je	PRON	0.9778474214775378
adorais	adorer	VERB	0.9931937964614792
depuis	depuis	ADP	0.8325004540734461
le	le	DET	0.9988781658907354
jour	jour	NOUN	0.99842759372974
où	où	PRON	0.9900450807912958
je	je	PRON	0.9919929053002589
eus	avoir	VERB	0.9810421449936053
la	le	DET	0.9892607520030368
connaissance	connaissance	NOUN	0.9997672646852436
de	de	ADP	0.99339833240463
moi-même	moi-même	PRON	0.24280188166278308
.	.	PUNCTsent	0.0
↵↵	↵↵	PUNCTstruct	0.0
Je	je	PRON	0.9806630622818905
lui	lui	PRON	0.9993914244967972
dois	devoir	VERB	0.9866695559103271
tout	tout	ADV	0.5091124161312188
.	.	PUNCTsent	0.0
avant	avant	ADP	0.9281483645089305
lui	lui	PRON	0.9226693954953975
,	,	PUNCTclause	0.0
je	je	PRON	0.966839223740085
ne	ne	ADV	0.9963323821730141
voyais	voir	VERB	0.9597247428990123
pas	pas	ADV	0.9989424970507035
,	,	PUNCTclause	0.0
je	je	PRON	0.9881719272469954
ne	ne	ADV	0.9963323821730141
entendais	entendre	VERB	0.88999680759499
pas	pas	ADV	0.9989424970507035
,	,	PUNCTclause	0.0
je	je	PRON	0.9881719272469954
ne	ne	ADV	0.9963323821730141
pensais	penser	VERB	0.9845039048556682
pas	pas	ADV	0.9997453022665955
;	;	PUNCTclause	0.0
je	je	PRON	0.9895239025984605
étais	être	VERB	0.743685802346333
comme	comme	ADP	0.6240808081582939
ces	ce	DET	0.9926678925127238
âmes	âme	NOUN	0.9684006643980302
que	que	SCONJ	0.7046812969797915
Jésus-Christ	Jésus-Christ	PROPN	0.994854233952845
a	avoir	AUX	0.8527941576139573
tirées	tirer	VERB	0.9838088964055721
des	un	DET	0.7998482684952337
limbes	limbe	NOUN	0.9842318080634801
,	,	PUNCTclause	0.0
