label	axe1_71.7088%	axe2_20.0594%	axe3_4.3288%	axe4_1.3705%	axe5_1.2312%	axe6_0.6419%	axe7_0.3144%	axe8_0.1936%	axe9_0.0899%	axe10_0.0501%	axe11_0.0115%
tf	-0.588711247792	-0.224541793069	-0.0591567255279	-0.00778955639936	0.00593392389987	0.00589167360911	-0.000514124225593	0.000348121909665	-0.000177082306851	-4.3090061393e-05	5.31956506012e-07
g2s0.0	-0.588711247792	-0.224541793069	-0.0591567255279	-0.00778955639937	0.00593392389987	0.00589167360911	-0.000514124225594	0.000348121909665	-0.000177082306849	-4.30900613933e-05	5.31956501665e-07
g2s0.25	-0.404459345655	0.130928376428	0.173940781066	0.0443130086224	-0.0582737713566	-0.0475759048157	0.000572318469883	-0.00652261245434	0.000812585305463	0.000396709440106	2.11065810545e-05
g2s0.5	-0.220318059688	0.259157035206	0.105558632456	-0.0273360330513	0.0434815506713	0.0677871544405	0.000829408240119	0.0202458272804	-0.00263946905382	-0.00137319253748	-2.18195781753e-05
g2s0.75	-0.0342554069069	0.248387806114	-0.0557365823622	-0.0318184586971	0.0463974687919	-0.00771898188403	-0.00039978970773	-0.0419219881137	0.0102911029882	0.00845621830577	-2.92699588776e-05
g2	0.0888624692705	0.170234959877	-0.108484931556	0.0112453398323	-0.0151560803626	-0.0291379384895	-0.000230114966721	0.0329295061031	-0.0034020893632	0.0179856577635	0.000388676772072
g2s1.25	0.228038536222	-0.00542829500431	-0.0481523534813	0.0701752492026	-0.0370083557998	0.0323320202287	0.01893091801	0.00273347722458	0.0256984747467	-0.00516947246157	-0.00404201608575
g2s1.5	0.291975063071	-0.116805675562	0.0287131897625	0.0449656287784	0.0312681439582	0.00486048917093	-0.00977120726869	-0.00985217769742	-0.0209434803579	0.00355473710202	-0.00945044310749
g2s1.75	0.316092938381	-0.174767505954	0.0715335503361	-0.00507531754024	0.0734418810463	-0.0347263295222	-0.0311055858955	0.0137220856321	0.0163372879532	-0.00298935435114	0.0023982692298
lafon	0.047937849613	0.205165108145	-0.0988417811091	-0.0106779438014	0.00453809565615	-0.0322319463907	0.00137502120582	0.00467602392471	-0.0104209182836	-0.0230911158399	-0.000145739408637
chi2	0.269657697271	-0.0761878314134	-0.00183386294701	0.0670027986133	0.006126867747	0.0217005956756	0.0135832238595	-0.0112467109323	-0.0125308042763	0.00101044367445	0.0105693159357
tfidf	0.272712223006	-0.0388955061175	-0.00675358440605	-0.0585668982266	-0.0912686113829	0.0272337728323	-0.0439166850253	-0.00717933908743	-0.00160065254937	8.08590833083e-06	0.00105606443447
bm25	0.321178530999	-0.152704885581	0.0583703932967	-0.0886482609336	-0.0154150367687	-0.0143062784642	0.0511607415298	0.00171966430096	-0.00124787249567	0.00129746311871	-0.00074520872717
