axe	valeur_propre	part_inertie_positive_pct
1	1.40406592124	71.70878054
2	0.392764749211	20.05937241
3	0.0847585232404	4.32880697
4	0.0268353492563	1.37054118
5	0.024106073185	1.23115096
6	0.0125676548589	0.64185819
7	0.00615566187192	0.31438339
8	0.00379017263162	0.19357258
9	0.0017608546403	0.08993078
10	0.000981238206762	0.05011403
11	0.000224955600236	0.01148898
12	1.93709889601e-17	0.00000000
13	-2.47127024466e-16	0.00000000
