COUNT	TERM	LEMMA	POS_COUNTS
6536	mots	mot	NOUN:6536
6485	mis	mettre	VERB:6485
6467	quelle	quel	DET:6467
6460	vais	aller	VERB:6460
6441	Sa	son	DET:6435;X:3;NOUN:1;PRON:1;VERB:1
6416	sait	savoir	VERB:6416
6370	voyant	voir	VERB:6370
6280	trouvait	trouver	VERB:6280
6277	continua	continuer	VERB:6277
6170	grands	grand	ADJ:6124;NOUN:46
6151	ta	ton	DET:6151
6120	Ces	ce	DET:6117;X:3
6118	vois	voir	VERB:6118
6114	savez	savoir	VERB:6114
5917	veut	vouloir	VERB:5917
5887	savait	savoir	VERB:5887
5760	vint	venir	VERB:5760
5702	es	être	AUX:4757;VERB:945
5663	dernière	dernier	ADJ:5662;NOUN:1
5656	nouvelle	nouveau	ADJ:5656
5632	jeunes	jeune	ADJ:4987;NOUN:645
5589	faites	faire	VERB:5581;AUX:8
5518	venu	venir	VERB:5518
5509	Pour	pour	ADP:5505;NOUN:4
5509	ajouta	ajouter	VERB:5509
5499	trouva	trouver	VERB:5499
5487	dites	dire	VERB:5487
5433	put	pouvoir	VERB:5433
5377	Après	après	ADP:4903;ADV:474
5355	Son	son	DET:5350;NOUN:4;X:1
5276	Comme	comme	SCONJ:3096;ADP:2178;CCONJ:2
5267	comtesse	comte	NOUN:5267
5191	larmes	larme	NOUN:5191
5189	voyait	voir	VERB:5189
5179	tenait	tenir	VERB:5179
5165	lèvres	lèvre	NOUN:5165
5090	Voilà	voilà	ADP:4957;VERB:131;NOUN:2
5024	regarda	regarder	VERB:5024
5002	voyez	voir	VERB:5002
4969	aurais	avoir	AUX:3902;VERB:1067
4966	Allons	aller	VERB:4964;NOUN:1;X:1
4944	personne	personne:PRON	PRON:4944
4926	minutes	minute	NOUN:4926
4904	passé	passer	VERB:4904
4896	chevaux	cheval	NOUN:4896
4826	vient	venir	VERB:4826
4814	Cela	cela	PRON:4814
4802	entendu	entendre	VERB:4802
4785	Pourquoi	pourquoi	ADV:4776;NOUN:9
4779	Ma	mon	DET:4779
4759	vieille	vieux	ADJ:4591;NOUN:168
4752	alla	aller	VERB:4752
4696	faisant	faire	VERB:4042;AUX:654
4678	semble	sembler	VERB:4678
4661	parut	paraître	VERB:4661
4642	allez	aller	VERB:4642
