COUNT	TERM	LEMMA	CORPUS_SHARE	WORD_FORM	WORD_FREQ	WORD_DOMINANT_LEMMA	WORD_DOMINANT_FREQ	WORD_RATIO	POS_COUNTS
221	enragé	enrager	0.722222	enragé	0.95	enragé	2.57	2.705	VERB:221
220	soupirant	soupirant	0.694006	soupirant	1.55	soupirer	5.61	3.619	NOUN:220
220	dure	durer	0.260664	dure	19.05	dur	39.06	2.050	VERB:220
219	mets	mets	0.246067	mets	7.97	mettre	33.72	4.231	NOUN:219
219	prête	prêter	0.173672	prête	16.01	prêt	28.31	1.768	VERB:219
219	condamnés	condamner	0.394595	condamnés	5.07	condamné	6.29	1.241	VERB:219
218	retenue	retenir	0.689873	retenue	5.54	retenue	7.64	1.379	VERB:218
216	mesure	mesurer	0.076487	mesure	10.27	mesure	112.16	10.921	VERB:216
216	passant	passant	0.239734	passant	9.80	passer	60.88	6.212	NOUN:200;ADJ:16
216	fatigués	fatiguer	0.874494	fatigués	2.97	fatigué	5.14	1.731	VERB:216
216	coupés	couper	0.900000	coupés	6.76	coupé	9.12	1.349	VERB:216
216	battue	battre	0.815094	battue	4.93	battu	5.34	1.083	VERB:216
214	lit	lire	0.030867	lit	24.86	lit	315.74	12.701	VERB:214
214	surprise	surpris	0.066315	surprise	6.89	surprise	68.51	9.943	ADJ:214
214	vaincue	vaincre	0.737931	vaincue	2.23	vaincu	2.77	1.242	VERB:214
212	cesse	cesser	0.868852	cesse	24.59	cesse	71.96	2.926	VERB:212
211	perçant	percer	0.890295	perçant	1.28	perçant	2.50	1.953	VERB:211
210	élevées	élever	0.614035	élevées	0.34	élevé	1.76	5.176	VERB:210
209	moyennant	moyenner	0.800766	moyennant	0.07	moyennant	4.53	64.714	VERB:209
209	satisfaite	satisfait	0.623881	satisfaite	3.58	satisfaire	4.53	1.265	ADJ:209
209	allumée	allumer	0.990521	allumée	5.00	allumé	6.21	1.242	VERB:209
209	confiant	confier	0.694352	confiant	3.85	confiant	4.73	1.229	VERB:209
208	laves	lave	0.990476	laves	0.34	laver	0.41	1.206	NOUN:208
207	Suis	être	0.990431	suis	570.06	suivre	593.51	1.041	AUX:207
206	chasse	chasser	0.084392	chasse	8.38	chasse	53.38	6.370	VERB:206
204	presse	presser	0.418033	presse	8.51	presse	40.68	4.780	VERB:204
204	pesant	peser	0.705882	pesant	5.14	pesant	6.76	1.315	VERB:204
203	traverse	travers	0.390385	traverse	4.86	traverser	25.27	5.200	NOUN:203
203	lasse	lasser	0.634375	lasse	4.32	las	10.07	2.331	VERB:203
203	contenue	contenir	1.000000	contenue	2.70	contenu	4.05	1.500	VERB:203
202	vues	voir	0.423480	vues	8.11	vue	8.38	1.033	VERB:202
201	armée	armé	0.061337	armée	9.19	armée	114.46	12.455	ADJ:201
200	morts	mourir	0.122324	morts	19.26	mort	85.07	4.417	VERB:200
200	éperdu	éperdre	0.826446	éperdu	2.09	éperdu	3.45	1.651	VERB:200
200	ouvertes	ouvrir	0.349040	ouvertes	13.38	ouvert	15.14	1.132	VERB:200
199	excité	exciter	0.917051	excité	2.36	excité	4.06	1.720	VERB:199
199	rentrée	rentrée	0.379048	rentrée	14.19	rentrer	14.66	1.033	NOUN:199
198	regardant	regardant	0.051402	regardant	5.47	regarder	73.78	13.488	ADJ:198
197	tournée	tourner	0.518421	tournée	9.46	tournée	18.72	1.979	VERB:197
196	commandant	commander	0.123659	commandant	7.70	commandant	47.64	6.187	VERB:196
