TERM_TOTAL	LEMMA_COUNT	CORPUS_SHARE	TERM	LEMMA	POS_COUNTS
7395	12	0.001623	Dans	Dans	PROPN:12
7395	2	0.000270	Dans	dan	NOUN:2
7340	7336	0.999455	donné	donner	VERB:7336
7340	4	0.000545	donné	donné	ADJ:4
7292	4465	0.612315	Votre	votre	DET:4398;VERB:59;ADJ:6;ADV:1;SCONJ:1
7292	2827	0.387685	Votre	Votre	PROPN:2827
7265	7182	0.988575	Madame	madame	NOUN:7181;ADV:1
7265	83	0.011425	Madame	Madame	PROPN:83
7222	7082	0.980615	Mon	mon	DET:7075;NOUN:4;X:3
7222	140	0.019385	Mon	Mon	PROPN:140
7195	7142	0.992634	partie	partie	NOUN:7142
7195	53	0.007366	partie	partir	VERB:53
7071	7068	0.999576	Tout	tout	PRON:5326;ADJ:1086;ADV:598;DET:58
7071	3	0.000424	Tout	Tout	PROPN:3
6933	6719	0.969133	lit	lit	NOUN:6719
6933	214	0.030867	lit	lire	VERB:214
6899	3907	0.566314	reste	reste	NOUN:3907
6899	2992	0.433686	reste	rester	VERB:2992
6785	4904	0.722771	passé	passer	VERB:4904
6785	1881	0.277229	passé	passé	NOUN:1878;ADJ:3
6607	6595	0.998184	Ne	ne	ADV:6587;X:8
6607	12	0.001816	Ne	Ne	PROPN:12
6565	6564	0.999848	voulu	vouloir	VERB:6564
6565	1	0.000152	voulu	voulu	ADJ:1
6550	4639	0.708244	vue	vue	NOUN:4639
6550	1911	0.291756	vue	vu	VERB:1876;ADJ:35
6532	6526	0.999081	table	table	NOUN:6526
6532	6	0.000919	table	tabler	VERB:6
6455	6441	0.997831	Sa	son	DET:6435;X:3;NOUN:1;PRON:1;VERB:1
6455	14	0.002169	Sa	Sa	PROPN:14
6429	6370	0.990823	voyant	voir	VERB:6370
6429	59	0.009177	voyant	voyant	NOUN:59
6123	6116	0.998857	or	or	NOUN:6116
6123	7	0.001143	or	or:CCONJ	CCONJ:7
6109	5987	0.980029	pensée	pensée	NOUN:5987
6109	122	0.019971	pensée	penser	VERB:122
6056	5969	0.985634	bois	bois	NOUN:5969
6056	87	0.014366	bois	boire	VERB:87
6033	5317	0.881319	figure	figure	NOUN:5317
6033	716	0.118681	figure	figurer	VERB:716
6016	5656	0.940160	nouvelle	nouveau	ADJ:5656
6016	360	0.059840	nouvelle	nouvelle	NOUN:360
5604	5589	0.997323	faites	faire	VERB:5581;AUX:8
5604	15	0.002677	faites	fait	ADJ:15
5603	2851	0.508835	Majesté	Majesté	PROPN:2851
5603	2752	0.491165	Majesté	majesté	NOUN:2742;VERB:6;CCONJ:2;X:2
5530	4351	0.786799	demande	demander	VERB:4351
5530	1179	0.213201	demande	demande	NOUN:1179
5498	5487	0.997999	dites	dire	VERB:5487
5498	11	0.002001	dites	dit	ADJ:11
5378	5377	0.999814	Après	après	ADP:4903;ADV:474
5378	1	0.000186	Après	Après	PROPN:1
5372	5355	0.996835	Son	son	DET:5350;NOUN:4;X:1
5372	17	0.003165	Son	Son	PROPN:17
5100	5090	0.998039	Voilà	voilà	ADP:4957;VERB:131;NOUN:2
5100	10	0.001961	Voilà	Voilà	PROPN:10
5100	3574	0.700784	compte	compte	NOUN:3574
5100	1526	0.299216	compte	compter	VERB:1526
5071	4889	0.964110	voyage	voyage	NOUN:4889
5071	182	0.035890	voyage	voyager	VERB:182
5016	4966	0.990032	Allons	aller	VERB:4964;NOUN:1;X:1
5016	50	0.009968	Allons	Allons	PROPN:50
4901	4751	0.969394	sorte	sorte	NOUN:4751
4901	150	0.030606	sorte	sortir	VERB:150
4880	4315	0.884221	perdu	perdre	VERB:4315
4880	565	0.115779	perdu	perdu	ADJ:564;NOUN:1
4840	4768	0.985124	calme	calme	ADJ:2407;NOUN:2361
4840	72	0.014876	calme	calmer	VERB:72
4835	4030	0.833506	chère	chère	NOUN:4030
4835	805	0.166494	chère	cher	ADJ:805
4815	4814	0.999792	Cela	cela	PRON:4814
4815	1	0.000208	Cela	Cela	PROPN:1
4810	4802	0.998337	entendu	entendre	VERB:4802
4810	8	0.001663	entendu	entendu	ADJ:8
4793	2957	0.616941	parti	parti	NOUN:2957
4793	1836	0.383059	parti	partir	VERB:1836
4790	4781	0.998121	peine	peine	NOUN:4781
4790	9	0.001879	peine	peiner	VERB:9
