COUNT	TERM	POS_COUNTS
44	XXXVIII	X:44
44	centigr.	NOUN:44
44	pâl	NOUN:43;ADJ:1
44	v	X:18;NOUN:13;VERB:6;ADP:4;ADJ:2;PRON:1
44	º	NOUN:23;VERB:13;ADP:6;ADV:1;CCONJ:1
43	b	X:18;NOUN:8;VERB:7;ADJ:6;ADV:2;ADP:1;DET:1
43	iemschik	NOUN:42;PRON:1
43	marchef	NOUN:43
43	très-grand	NOUN:28;ADV:9;DET:3;SCONJ:3
41	h	NOUN:35;ADJ:2;VERB:2;PRON:1;X:1
41	très-belle	NOUN:22;PRON:8;ADJ:6;ADV:4;ADP:1
41	très-bon	ADV:24;NOUN:14;DET:2;PRON:1
40	kariol	NOUN:40
40	très-bonne	ADV:15;NOUN:14;DET:11
39	Patrice	NOUN:39
39	XL	X:38;NOUN:1
39	XLI	X:37;VERB:2
39	grelet	NOUN:31;ADJ:6;AUX:1;CCONJ:1
39	steam-yacht	NOUN:34;X:5
39	très-beau	ADV:23;NOUN:15;ADP_DET:1
38	XLII	X:38
38	demi-million	NOUN:38
37	dilettanti	NOUN:34;VERB:3
37	très-mal	ADV:37
36	XLIII	X:36
36	XLIV	NOUN:36
36	araba	NOUN:36
36	rancho	NOUN:20;X:14;VERB:2
35	XLV	X:34;VERB:1
35	garde-champêtre	NOUN:35
34	XLVI	VERB:34
34	attenait	VERB:34
34	carrosseux	NOUN:31;ADJ:2;ADP_DET:1
34	da	X:31;ADP:2;VERB:1
34	demi-encablure	NOUN:34
34	floridienne	ADJ:34
34	guanaque	NOUN:31;VERB:2;PRON:1
34	mio	VERB:16;NOUN:8;ADJ:6;X:4
34	s	NOUN:16;X:15;VERB:2;PRON:1
34	très-heureuse	ADV:31;NOUN:2;PRON:1
34	yamen	NOUN:32;PRON:2
33	XLVII	X:33
33	XLVIII	X:33
33	bir	ADP:23;ADJ:5;NOUN:3;VERB:2
33	fazender	NOUN:29;VERB:3;ADP:1
33	gallienne	ADJ:33
33	êdre	VERB:24;NOUN:5;ADP:2;ADV:1;X:1
32	chirurgien-major	NOUN:32
32	commis-voyageur	NOUN:32
32	dona	DET:21;VERB:4;X:4;NOUN:3
32	g	NOUN:25;X:5;ADJ:1;ADP:1
32	grand-livre	NOUN:32
32	n	ADV:8;NOUN:8;X:8;ADP:6;PRON:2
32	terrazzone	NOUN:32
31	c	NOUN:14;PRON:8;ADV:7;ADJ:1;X:1
31	mordi	NOUN:31
